group_type,group_value,weighting,state,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
REFERENCE_STRENGTH,R2,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1057,1057,482,4638,710191,714829.0,710206.0,0.993532719013918,8.28121563617225e-05,0.0,0.0,0.0,0.0,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R3,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1128,1128,569,13672,1460869,1125.1683684779273,1114.945446735395,0.9909143182221153,9.85405076110371e-05,0.0,0.0,0.0,0.0,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
REFERENCE_STRENGTH,R3,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1128,1128,569,13672,1460869,1474541.0,1460905.0,0.9907523765022471,9.470245938486514e-05,0.0,0.0,0.0,0.0,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R4,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1002,1002,549,57405,2973338,998.8842808578962,981.319587628866,0.9824156876170433,0.00015048980375246808,0.0,0.0,0.0,0.0013284359195355933,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
REFERENCE_STRENGTH,R4,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1002,1002,549,57405,2973338,3030743.0,2973338.0,0.9810591000292668,0.00016296287934289226,0.0,0.0,0.0,0.0017470943314330033,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R5,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1165,1165,721,1117343,19611416,1159.7118528807982,1099.4842923442095,0.9480667888432979,0.0009054276688623,0.0,0.0,0.00014688319371455573,0.016977411005829793,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
REFERENCE_STRENGTH,R5,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1165,1165,721,1117343,19611416,20728759.0,19611586.0,0.9461051672220223,0.0011431053751282492,0.0,0.0,0.00028371403868389074,0.022331366332361373,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_2_4,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,288,288,101,328,93549,287.3548109965636,286.4123711340206,0.9967202920345251,2.863893342167054e-05,0.0,0.0,0.0,0.0,0.31851012950491986,WEIGHTED_INVERSE_EMPIRICAL_CDF
TARGET_N_BAND,N_2_4,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,288,288,101,328,93549,93877.0,93549.0,0.9965060664486509,3.111769225489889e-05,0.0,0.0,0.0,0.0,0.31851012950491986,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_5_9,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1057,1057,482,4638,710191,1054.5189044346262,1047.994845360825,0.9938132364945139,7.762122402565712e-05,0.0,0.0,0.0,0.0,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
