K,block,start_realization,end_realization,orientation,strong_gain_pp,paired_null_gain_pp,separation_pp,strong_geometry_coverage,paired_null_geometry_coverage,STRONG_hellinger_median,PAIRED_NULL_hellinger_median,STRONG_sliced_wasserstein_km_median,PAIRED_NULL_sliced_wasserstein_km_median,STRONG_geometry_coverage_crosscheck,PAIRED_NULL_geometry_coverage_crosscheck,BA_minus_AB_separation_pp
1,58,58,58,AB,-12.449955493082593,4.56857342184464,-14.816377320551899,1.0,0.8125,0.11008667516704819,0.11418924632647257,3.1307985788097388,3.55643413764965,1.0,0.8125,-11.435277151254644
1,58,58,58,BA,-23.99192938232123,4.8529293329081495,-26.251654471806543,0.9375,0.875,0.13131096034322912,0.13333561957715973,3.684079254747455,4.477900543085893,0.9375,0.875,-11.435277151254644
1,59,59,59,AB,-11.260051557726607,3.711346431708514,-12.256722888256169,1.0,0.875,0.10892263900599292,0.11181784854327889,3.11696686223128,3.558873224585498,1.0,0.875,-8.36440817522613
1,59,59,59,BA,-16.918993064057283,2.9162443766708877,-20.6211310634823,0.9375,0.9375,0.13345690536028815,0.13869249297742897,3.4284975793962262,4.208467295281232,0.9375,0.9375,-8.36440817522613
1,60,60,60,AB,-15.459589610608328,4.141016549518571,-17.45489805425372,1.0,0.8125,0.1076493553325639,0.11182179447254223,2.809978887487923,3.461714794176023,1.0,0.8125,-7.638490661387348
1,60,60,60,BA,-24.42782307606661,3.135729919751944,-25.09338871564107,0.9375,0.8125,0.13589092287773716,0.13205245600411064,3.5283905260410062,4.200293143649835,0.9375,0.8125,-7.638490661387348
1,61,61,61,AB,-11.613804345595973,3.4234357312660753,-13.739702915145118,1.0,0.875,0.10767878793114596,0.11003496740327974,3.3084991387619773,3.6401362518270886,1.0,0.875,-14.818100010734655
1,61,61,61,BA,-26.977046652107973,3.4575714179966464,-28.557802925879773,1.0,0.875,0.1352617680521193,0.14000102787386456,3.630468791695275,4.3810841479555975,1.0,0.875,-14.818100010734655
1,62,62,62,AB,-12.588176888776433,4.192526887401509,-16.78070377617794,0.9375,0.875,0.11101249141763786,0.10895808609184363,2.8046641328942856,3.3873290461929715,0.9375,0.875,-5.610526296258595
1,62,62,62,BA,-19.202994228117465,3.18823584431907,-22.391230072436535,1.0,0.875,0.13146212986802253,0.1382591159090178,3.4421667960313083,4.208378659341184,1.0,0.875,-5.610526296258595
1,63,63,63,AB,-5.629268439983019,3.3214183166210165,-9.434450314094157,1.0,0.9375,0.1095698245778062,0.10669707979793483,3.0852642884712105,3.7865735588368503,1.0,0.9375,-16.013385851299308
1,63,63,63,BA,-24.81232378179852,1.8011991881634795,-25.447836165393465,0.9375,0.875,0.13522895557171957,0.13689581387848898,3.723213362762558,4.310832698083589,0.9375,0.875,-16.013385851299308
1,64,64,64,AB,-11.88333080070682,3.67319141929646,-15.55652222000328,1.0,0.875,0.10732719906253538,0.11140681663150792,3.002997771288195,3.4519733514512736,1.0,0.875,-10.098921529549393
1,64,64,64,BA,-21.33938064801112,4.3160631015415545,-25.655443749552674,1.0,0.875,0.13250783176378583,0.13482719287728673,3.4575650638249864,4.524780428393443,1.0,0.875,-10.098921529549393
1,65,65,65,AB,-8.42643472131816,4.4590351080914195,-13.646629262199585,0.9375,0.8125,0.10791946509212713,0.113785054068469,2.939979948911513,3.6812453746656804,0.9375,0.8125,-11.118169294911578
1,65,65,65,BA,-23.070564442897403,3.8101791770534716,-24.764798557111163,0.9375,0.875,0.13504176200048768,0.13878364965777162,3.544447928486276,4.826112580858208,0.9375,0.875,-11.118169294911578
1,66,66,66,AB,-11.21601016911964,3.288220694050776,-14.259991056367566,1.0,0.9375,0.10926032282927578,0.11250154773140193,2.8438736135609672,3.651809199359187,1.0,0.9375,-2.3155248588443573
1,66,66,66,BA,-12.394593689661823,3.95332930814812,-16.575515915211923,0.9375,0.875,0.13309470215494126,0.13893904106241695,3.9636463421015717,4.926112578525705,0.9375,0.875,-2.3155248588443573
1,67,67,67,AB,-14.221715004658495,3.148531229034525,-15.259625999761028,1.0,0.875,0.1080561904913184,0.11124966393761418,2.8001956186927215,3.6939406478459356,1.0,0.875,-13.80082570216372
1,67,67,67,BA,-24.04573625230683,3.3367118263769897,-29.060451701924748,0.9375,0.875,0.13610619044827044,0.14063547506604346,3.5805785140401696,4.67093309912715,0.9375,0.875,-13.80082570216372
1,68,68,68,AB,-8.150737446563602,3.5264257926924985,-12.7068905942857,1.0,0.875,0.11120399323258351,0.1131354043954195,2.8787382976009614,3.41697458186004,1.0,0.875,-6.340463443933341
