stratum,state,P2PANEL,n_lineages_total,n_A,n_B,abs_balance_diff,missing_P2PANEL_count,duplicate_lineage_across_AB,duplicate_primary_measurement,split_seed,split_rule_id,status
MO|4,MO,4,617,309,308,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MO|5,MO,5,601,301,300,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MS|1,MS,1,798,399,399,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MS|2,MS,2,820,410,410,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MS|3,MS,3,813,407,406,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MS|4,MS,4,799,400,399,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MS|5,MS,5,787,394,393,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MT|1,MT,1,429,215,214,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MT|2,MT,2,411,206,205,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MT|3,MT,3,411,206,205,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MT|4,MT,4,836,418,418,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
MT|5,MT,5,412,206,206,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NC|1,NC,1,640,320,320,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NC|2,NC,2,640,320,320,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NC|3,NC,3,715,358,357,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NC|4,NC,4,699,350,349,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NC|5,NC,5,748,374,374,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
ND|1,ND,1,48,24,24,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
ND|2,ND,2,32,16,16,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
ND|3,ND,3,45,23,22,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
ND|4,ND,4,34,17,17,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
ND|5,ND,5,44,22,22,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NE|1,NE,1,67,34,33,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NE|2,NE,2,61,31,30,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NE|3,NE,3,70,35,35,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NE|4,NE,4,62,31,31,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NE|5,NE,5,75,38,37,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NH|1,NH,1,211,106,105,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NH|2,NH,2,197,99,98,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
