FIA_SPCD,accepted_scientific_name,direction,fold,stress_tier,conservative_envelope_tv,AB_fold_discrepancy_tv,stress_to_fold_discrepancy_ratio,stress_minus_fold_discrepancy,comparison_class
142,Pinus longaeva,BA,A,E_EMPIRICAL_MAX,1.0,0.8291132064974289,1.2061079140500954,0.17088679350257108,STRESS_GT_FOLD_DISCREPANCY
201,Pseudotsuga macrocarpa,AB,B,E_OBSERVED,0.0,0.8108755733587351,0.0,-0.8108755733587351,STRESS_LT_FOLD_DISCREPANCY
201,Pseudotsuga macrocarpa,BA,A,E_OBSERVED,0.0,0.8108755733587351,0.0,-0.8108755733587351,STRESS_LT_FOLD_DISCREPANCY
201,Pseudotsuga macrocarpa,AB,B,E_P95,0.09261156421587981,0.8108755733587351,0.11421180666754162,-0.7182640091428553,STRESS_LT_FOLD_DISCREPANCY
201,Pseudotsuga macrocarpa,BA,A,E_P95,1.0,0.8108755733587351,1.2332348301699247,0.18912442664126494,STRESS_GT_FOLD_DISCREPANCY
201,Pseudotsuga macrocarpa,AB,B,E_EMPIRICAL_MAX,1.0,0.8108755733587351,1.2332348301699247,0.18912442664126494,STRESS_GT_FOLD_DISCREPANCY
201,Pseudotsuga macrocarpa,BA,A,E_EMPIRICAL_MAX,1.0,0.8108755733587351,1.2332348301699247,0.18912442664126494,STRESS_GT_FOLD_DISCREPANCY
211,Sequoia sempervirens,AB,B,E_OBSERVED,0.0,0.16631792861953643,0.0,-0.16631792861953643,STRESS_LT_FOLD_DISCREPANCY
211,Sequoia sempervirens,BA,A,E_OBSERVED,0.0,0.16631792861953643,0.0,-0.16631792861953643,STRESS_LT_FOLD_DISCREPANCY
211,Sequoia sempervirens,AB,B,E_P95,0.09261156421587981,0.16631792861953643,0.5568345215970977,-0.07370636440365662,STRESS_LT_FOLD_DISCREPANCY
211,Sequoia sempervirens,BA,A,E_P95,1.0,0.16631792861953643,6.012580894315778,0.8336820713804636,STRESS_GT_FOLD_DISCREPANCY
211,Sequoia sempervirens,AB,B,E_EMPIRICAL_MAX,1.0,0.16631792861953643,6.012580894315778,0.8336820713804636,STRESS_GT_FOLD_DISCREPANCY
211,Sequoia sempervirens,BA,A,E_EMPIRICAL_MAX,1.0,0.16631792861953643,6.012580894315778,0.8336820713804636,STRESS_GT_FOLD_DISCREPANCY
212,Sequoiadendron giganteum,AB,B,E_OBSERVED,0.0,0.9999999999999999,0.0,-0.9999999999999999,STRESS_LT_FOLD_DISCREPANCY
212,Sequoiadendron giganteum,BA,A,E_OBSERVED,0.0,0.9999999999999999,0.0,-0.9999999999999999,STRESS_LT_FOLD_DISCREPANCY
212,Sequoiadendron giganteum,AB,B,E_P95,0.09261156421587981,0.9999999999999999,0.09261156421587982,-0.9073884357841201,STRESS_LT_FOLD_DISCREPANCY
212,Sequoiadendron giganteum,BA,A,E_P95,1.0,0.9999999999999999,1.0000000000000002,1.1102230246251565e-16,STRESS_GT_FOLD_DISCREPANCY
